,G,Date,Age,Tm, ,Opp, ,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
0,1,2020-12-23,26-282,PHI,,WAS,W (+6),1,34:50,10,17,.588,1,1,1.000,8,9,.889,2,12,14,2,0,1,3,3,29,23.6,-2
1,2,2020-12-26,26-285,PHI,@,NYK,W (+20),1,30:39,10,20,.500,2,4,.500,5,7,.714,4,6,10,2,1,1,1,3,27,21.7,+18
2,,2020-12-27,26-286,PHI,@,CLE,L (-24),Did Not Dress,,,,,,,,,,,,,,,,,,,,,
3,3,2020-12-29,26-288,PHI,,TOR,W (+7),1,37:53,7,17,.412,1,6,.167,14,16,.875,4,12,16,4,2,2,5,1,29,26.3,+15
4,4,2020-12-31,26-290,PHI,@,ORL,W (+24),1,26:41,7,11,.636,1,2,.500,6,8,.750,0,9,9,2,0,2,0,2,21,20.0,+23
5,5,2021-01-02,26-292,PHI,,CHO,W (+15),1,36:44,7,11,.636,1,2,.500,4,6,.667,3,11,14,4,1,1,5,2,19,17.4,+19
6,6,2021-01-04,26-294,PHI,,CHO,W (+17),1,24:54,4,10,.400,0,3,.000,6,8,.750,1,10,11,4,2,3,1,1,14,17.0,+18
7,7,2021-01-06,26-296,PHI,,WAS,W (+5),1,36:36,11,20,.550,3,4,.750,13,13,1.000,0,8,8,5,3,3,5,1,38,34.0,+14
8,8,2021-01-07,26-297,PHI,@,BRK,L (-13),1,29:52,7,14,.500,2,2,1.000,4,5,.800,0,12,12,3,0,1,5,5,20,12.0,-16
9,,2021-01-09,26-299,PHI,,DEN,L (-12),Inactive,,,,,,,,,,,,,,,,,,,,,
10,9,2021-01-11,26-301,PHI,@,ATL,L (-18),1,22:49,8,17,.471,1,4,.250,7,8,.875,2,9,11,1,0,1,3,2,24,16.6,-27
11,10,2021-01-12,26-302,PHI,,MIA,W (+3),1,39:20,16,23,.696,0,3,.000,13,13,1.000,2,14,16,4,5,1,4,2,45,44.6,+4
12,11,2021-01-14,26-304,PHI,,MIA,W (+17),1,23:36,3,8,.375,1,2,.500,2,4,.500,0,5,5,1,1,0,3,1,9,3.6,+4
13,,2021-01-16,26-306,PHI,@,MEM,L (-2),Inactive,,,,,,,,,,,,,,,,,,,,,
14,12,2021-01-20,26-310,PHI,,BOS,W (+8),1,32:53,12,19,.632,1,5,.200,17,21,.810,0,10,10,2,1,1,1,2,42,36.2,+15
15,13,2021-01-22,26-312,PHI,,BOS,W (+12),1,30:13,11,15,.733,2,2,1.000,14,15,.933,3,8,11,3,1,0,5,5,38,32.1,+13
