,Date,School,Opponent,Type,W_L,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FPTS,Home,W,fpts_per_36
0,2020-11-28,Duke,Coppin State,REG,W,1,29,5,11,0.455,3,6,0.5,2,5,0.4,0,2,0.0,2,5,7,1,1,0,1,4,12,23.9,1,1,29.7
1,2020-12-01,Duke,Michigan State,REG,L,1,36,6,14,0.429,5,11,0.455,1,3,0.333,8,8,1.0,2,11,13,0,0,0,1,2,21,35.6,1,0,35.6
2,2020-12-04,Duke,Bellarmine,REG,W,1,32,9,12,0.75,3,4,0.75,6,8,0.75,0,0,,0,6,6,2,1,1,1,3,24,39.2,1,1,44.1
3,2020-12-08,Duke,Illinois,REG,L,1,30,8,15,0.533,8,9,0.889,0,6,0.0,3,5,0.6,3,4,7,0,1,1,0,4,19,33.4,1,0,40.1
4,2020-12-16,Duke,Notre Dame,REG,W,1,38,8,17,0.471,8,15,0.533,0,2,0.0,2,2,1.0,1,4,5,3,1,2,1,2,18,36.5,0,1,34.6
5,2021-01-06,Duke,Boston College,REG,W,1,32,7,15,0.467,4,9,0.444,3,6,0.5,0,3,0.0,6,5,11,1,0,1,2,4,17,32.7,1,1,36.8
6,2021-01-09,Duke,Wake Forest,REG,W,1,31,10,15,0.667,6,8,0.75,4,7,0.571,2,2,1.0,4,2,6,2,3,0,3,4,26,42.2,1,1,49.0
7,2021-01-12,Duke,Virginia Tech,REG,L,1,38,8,16,0.5,4,8,0.5,4,8,0.5,0,2,0.0,0,11,11,0,1,2,2,3,20,40.2,0,0,38.1
8,2021-01-19,Duke,Pitt,REG,L,1,30,5,12,0.417,3,7,0.429,2,5,0.4,1,2,0.5,2,4,6,4,0,1,0,3,13,29.2,0,0,35.0
9,2021-01-23,Duke,Louisville,REG,L,1,35,9,13,0.692,5,8,0.625,4,5,0.8,2,3,0.667,2,6,8,0,0,0,3,5,24,30.6,0,0,31.5
10,2021-01-26,Duke,Georgia Tech,REG,W,1,38,6,11,0.545,5,7,0.714,1,4,0.25,4,6,0.667,2,6,8,1,0,0,2,0,17,26.1,1,1,24.7
11,2021-01-30,Duke,Clemson,REG,W,1,28,4,7,0.571,3,3,1.0,1,4,0.25,4,4,1.0,1,3,4,3,0,0,2,3,13,20.3,1,1,26.1
12,2021-02-01,Duke,Miami (FL),REG,L,1,38,7,15,0.467,6,9,0.667,1,6,0.167,6,7,0.857,0,3,3,0,0,1,1,3,21,26.6,0,0,25.2
