Unnamed: 0,dates,pulled
0,2020-12-22,done
1,2020-12-23,
2,2020-12-24,
3,2020-12-25,
4,2020-12-26,
5,2020-12-27,
6,2020-12-28,
7,2020-12-29,
8,2020-12-30,
9,2020-12-31,
10,2021-01-01,
11,2021-01-02,
12,2021-01-03,
13,2021-01-04,
14,2021-01-05,
15,2021-01-06,
16,2021-01-07,
17,2021-01-08,
18,2021-01-09,
19,2021-01-10,
20,2021-01-11,
21,2021-01-12,
22,2021-01-13,
23,2021-01-14,
24,2021-01-15,
25,2021-01-16,
26,2021-01-17,
27,2021-01-18,
28,2021-01-19,
29,2021-01-20,
30,2021-01-21,
31,2021-01-22,
32,2021-01-23,
33,2021-01-24,
34,2021-01-25,
35,2021-01-26,
36,2021-01-27,
37,2021-01-28,
38,2021-01-29,
39,2021-01-30,
40,2021-01-31,
41,2021-02-01,
42,2021-02-02,
43,2021-02-03,
44,2021-02-04,
45,2021-02-05,
46,2021-02-06,
47,2021-02-07,
48,2021-02-08,
49,2021-02-09,
50,2021-02-10,
51,2021-02-11,
52,2021-02-12,
53,2021-02-13,
54,2021-02-14,
55,2021-02-15,
56,2021-02-16,
57,2021-02-17,
58,2021-02-18,
59,2021-02-19,
60,2021-02-20,
61,2021-02-21,
62,2021-02-22,
63,2021-02-23,
64,2021-02-24,
65,2021-02-25,
66,2021-02-26,
67,2021-02-27,
68,2021-02-28,
69,2021-03-01,
70,2021-03-02,
71,2021-03-03,
72,2021-03-04,
73,2021-03-05,
74,2021-03-06,
75,2021-03-07,
76,2021-03-08,
77,2021-03-09,
78,2021-03-10,
79,2021-03-11,
80,2021-03-12,
81,2021-03-13,
82,2021-03-14,
83,2021-03-15,
84,2021-03-16,
85,2021-03-17,
86,2021-03-18,
87,2021-03-19,
88,2021-03-20,
89,2021-03-21,
90,2021-03-22,
91,2021-03-23,
92,2021-03-24,
93,2021-03-25,
94,2021-03-26,
95,2021-03-27,
96,2021-03-28,
97,2021-03-29,
98,2021-03-30,
99,2021-03-31,
100,2021-04-01,
101,2021-04-02,
102,2021-04-03,
103,2021-04-04,
104,2021-04-05,
105,2021-04-06,
106,2021-04-07,
107,2021-04-08,
108,2021-04-09,
109,2021-04-10,
110,2021-04-11,
111,2021-04-12,
112,2021-04-13,
113,2021-04-14,
114,2021-04-15,
115,2021-04-16,
116,2021-04-17,
117,2021-04-18,
118,2021-04-19,
119,2021-04-20,
120,2021-04-21,
121,2021-04-22,
122,2021-04-23,
123,2021-04-24,
124,2021-04-25,
125,2021-04-26,
126,2021-04-27,
127,2021-04-28,
128,2021-04-29,
129,2021-04-30,
130,2021-05-01,
131,2021-05-02,
132,2021-05-03,
133,2021-05-04,
134,2021-05-05,
135,2021-05-06,
136,2021-05-07,
137,2021-05-08,
138,2021-05-09,
139,2021-05-10,
140,2021-05-11,
141,2021-05-12,
142,2021-05-13,
143,2021-05-14,
144,2021-05-15,
145,2021-05-16,
